TIMESTAMP,MAC,USER,CPU,RAM,DISCO,PROC,BATERIA,TEMP,statusCPU,statusRAM,statusDISCO,statusTEMP
2025-10-26 18:23:38,50-EB-F6-37-F1-98,guilh,71.4,54.6,69.5,303,100,80.8,ATENÇÃO,ATENÇÃO,CRÍTICO,CRÍTICO
2025-10-26 18:24:05,50-EB-F6-37-F1-98,guilh,57.3,52.2,69.5,303,100,72.21,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:24:19,50-EB-F6-37-F1-98,guilh,52.5,52.1,69.5,302,100,68.51,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:24:32,50-EB-F6-37-F1-98,guilh,48.0,52.0,69.5,302,100,62.96,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:25:12,50-EB-F6-37-F1-98,guilh,46.4,51.0,69.5,303,100,65.18,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:25:39,50-EB-F6-37-F1-98,guilh,55.9,51.4,69.5,304,100,69.59,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:25:53,50-EB-F6-37-F1-98,guilh,52.1,51.4,69.5,304,100,69.16,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:26:06,50-EB-F6-37-F1-98,guilh,62.4,51.4,69.5,303,100,72.33,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:26:33,50-EB-F6-37-F1-98,guilh,61.2,51.3,69.5,302,100,74.46,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:26:46,50-EB-F6-37-F1-98,guilh,34.4,51.6,69.5,305,100,60.41,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:27:12,50-EB-F6-37-F1-98,guilh,55.7,51.5,69.5,305,100,71.51,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:27:25,50-EB-F6-37-F1-98,guilh,49.6,51.4,69.5,304,100,67.46,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:27:52,50-EB-F6-37-F1-98,guilh,53.3,51.5,69.5,303,100,67.98,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:28:06,50-EB-F6-37-F1-98,guilh,57.0,51.6,69.5,303,100,70.8,ATENÇÃO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:28:19,50-EB-F6-37-F1-98,guilh,48.0,51.6,69.5,303,100,67.36,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
2025-10-26 18:28:32,50-EB-F6-37-F1-98,guilh,42.2,51.6,69.5,303,100,61.58,NEUTRO,ATENÇÃO,CRÍTICO,ATENÇÃO
