timestamp,endereco_mac,user,cpu,ram,disco,quantidade_processos,bateria
2025-10-01 13:07:45,0A-00-27-00-00-09,User,3.1,70.2,14.8,285,53
2025-10-01 13:07:58,0A-00-27-00-00-09,User,1.9,70.2,14.8,285,53
2025-10-01 13:08:11,0A-00-27-00-00-09,User,5.4,70.3,14.8,284,53
2025-10-01 13:08:24,0A-00-27-00-00-09,User,3.1,70.2,14.8,284,53
2025-10-01 13:08:37,0A-00-27-00-00-09,User,2.2,70.2,14.8,284,54
2025-10-01 13:08:50,0A-00-27-00-00-09,User,2.7,70.2,14.8,284,54
2025-10-01 13:09:03,0A-00-27-00-00-09,User,2.8,70.2,14.8,284,54
2025-10-01 13:09:16,0A-00-27-00-00-09,User,3.3,70.2,14.8,284,54
2025-10-01 13:09:29,0A-00-27-00-00-09,User,2.7,70.2,14.8,284,54
2025-10-01 13:09:41,0A-00-27-00-00-09,User,2.7,70.1,14.8,284,54
2025-10-01 13:09:54,0A-00-27-00-00-09,User,4.0,69.7,14.8,283,54
2025-10-01 13:10:07,0A-00-27-00-00-09,User,2.2,69.8,14.8,283,54
2025-10-01 13:10:20,0A-00-27-00-00-09,User,2.2,69.8,14.8,283,54
2025-10-01 13:10:33,0A-00-27-00-00-09,User,3.2,69.8,14.8,283,54
2025-10-01 13:10:46,0A-00-27-00-00-09,User,2.4,69.9,14.8,283,56
2025-10-01 13:10:59,0A-00-27-00-00-09,User,2.3,69.3,14.8,283,56
2025-10-01 13:11:12,0A-00-27-00-00-09,User,3.5,69.3,14.8,282,56
2025-10-01 13:11:25,0A-00-27-00-00-09,User,2.2,69.3,14.8,282,56
2025-10-01 13:11:38,0A-00-27-00-00-09,User,2.4,69.4,14.8,282,56
2025-10-01 13:11:50,0A-00-27-00-00-09,User,6.1,69.6,14.8,283,57
2025-10-01 13:12:03,0A-00-27-00-00-09,User,3.5,69.6,14.8,282,57
2025-10-01 13:12:16,0A-00-27-00-00-09,User,2.9,69.6,14.8,284,57
2025-10-01 13:12:29,0A-00-27-00-00-09,User,3.8,69.8,14.8,289,57
2025-10-01 13:12:42,0A-00-27-00-00-09,User,11.7,59.1,14.8,282,57
2025-10-01 13:12:57,0A-00-27-00-00-09,User,5.6,57.1,14.8,278,57
2025-10-01 13:13:12,0A-00-27-00-00-09,User,1.3,49.5,14.8,274,57
2025-10-01 13:13:26,0A-00-27-00-00-09,User,1.4,49.1,14.8,274,57
2025-10-01 13:13:39,0A-00-27-00-00-09,User,1.6,49.0,14.8,273,57
2025-10-01 13:14:31,0A-00-27-00-00-09,User,6.4,49.1,14.8,267,57
2025-10-01 13:14:45,0A-00-27-00-00-09,User,1.2,48.9,14.8,267,57
2025-10-01 13:14:58,0A-00-27-00-00-09,User,1.7,48.9,14.8,266,57
2025-10-01 13:15:12,0A-00-27-00-00-09,User,1.3,48.8,14.8,266,57
